midi,inicio,fim,duracao,i,j,avg conf,std dev
74.0,0.13,0.32,0.19,13.0,32.0,0.9547245502471924,0.03481422350773906
76.0,0.34,0.56,0.22000000000000003,34.0,56.0,0.9376315474510193,0.03546307964701744
77.0,0.58,0.74,0.16000000000000003,58.0,74.0,0.9284536838531494,0.07525803314893993
79.0,0.83,0.98,0.15000000000000002,83.0,98.0,0.9495828747749329,0.07692541987986684
81.0,1.03,1.23,0.19999999999999996,103.0,123.0,0.9489976167678833,0.03570164419060343
83.0,1.28,1.7,0.41999999999999993,128.0,170.0,0.9194149971008301,0.06813414589671749
82.0,1.73,2.45,0.7200000000000002,173.0,245.0,0.968288004398346,0.06707487141988984
82.0,3.29,3.67,0.3799999999999999,329.0,367.0,0.9590165019035339,0.08634782143750074
84.0,3.73,4.54,0.81,373.0,454.0,0.9388692378997803,0.05135560193613909
82.0,4.57,4.9,0.33000000000000007,457.0,490.0,0.9604282379150391,0.0700498605859322
81.0,4.91,5.12,0.20999999999999996,491.0,512.0,0.9493268132209778,0.05335036446614659
79.0,5.13,5.32,0.1900000000000004,513.0,532.0,0.9490606188774109,0.03198463793626723
77.0,5.35,5.52,0.16999999999999993,535.0,552.0,0.936596155166626,0.0689471870357115
76.0,5.55,5.75,0.20000000000000018,555.0,575.0,0.9353230595588684,0.05393621824376006
74.0,5.77,5.99,0.22000000000000064,577.0,599.0,0.9514042139053345,0.14312644477406086
72.0,6.09,6.29,0.20000000000000018,609.0,629.0,0.9394341707229614,0.07707115515969475
76.0,6.6,6.81,0.20999999999999996,660.0,681.0,0.947176992893219,0.08516922180577288
77.0,6.83,7.18,0.34999999999999964,683.0,718.0,0.9310960173606873,0.04836734969155851
77.0,7.19,7.45,0.2599999999999998,719.0,745.0,0.9215115904808044,0.03774247786644251
