instruments/recorder,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/recorder/20220416_160251.mp4,1,73.0,4.52,6.59,2.0700000000000003,452.0,659.0,0.9132524132728577,0.09636885534304009,"[[1273.0, 388.0], [1426.0, 373.6666666666667]]"
instruments/recorder/20220416_160251.mp4,3,74.0,6.73,8.58,1.8499999999999996,673.0,858.0,0.9596025347709656,0.11997736936313759,"[[1275.25, 379.75], [1426.25, 372.8333333333333]]"
instruments/recorder/20220416_160251.mp4,4,75.0,8.86,10.38,1.5200000000000014,886.0,1038.0,0.9136782288551331,0.14950547279727558,"[[1284.8333333333335, 379.6666666666667], [1435.4166666666667, 373.0833333333333]]"
instruments/recorder/20220416_160251.mp4,6,73.0,14.14,14.21,0.07000000000000028,1414.0,1421.0,0.8823834657669067,0.06431792122514814,"[[1297.8333333333333, 306.1666666666667], [1444.1666666666667, 286.1666666666667]]"
instruments/recorder/20220416_160251.mp4,7,73.0,14.71,14.83,0.11999999999999922,1471.0,1483.0,0.9153754115104675,0.16303845361469727,"[[1302.0833333333333, 312.16666666666663], [1451.5833333333335, 290.5833333333333]]"
instruments/recorder/20220416_160251.mp4,10,76.0,17.56,18.0,0.4400000000000013,1756.0,1800.0,0.955409049987793,0.024210762170211717,"[[1300.8333333333335, 315.6666666666667], [1452.25, 291.1666666666667]]"
instruments/recorder/20220416_160251.mp4,14,76.0,21.92,24.02,2.099999999999998,2192.0,2402.0,0.9526728987693787,0.043637515004321635,"[[1330.5, 335.8333333333333], [1460.8333333333333, 322.3333333333333]]"
instruments/recorder/20220416_160251.mp4,15,77.0,24.03,26.08,2.049999999999997,2403.0,2608.0,0.9448672533035278,0.02878972013294471,"[[1408.0, 319.0], [1546.6666666666667, 293.3333333333333]]"
instruments/recorder/20220416_160251.mp4,16,79.0,26.15,27.88,1.7300000000000004,2615.0,2788.0,0.9567654132843018,0.04786992511356698,"[[1386.75, 322.1666666666667], [1525.0, 294.41666666666663]]"
instruments/recorder/20220416_160251.mp4,18,80.0,28.29,30.25,1.9600000000000009,2829.0,3025.0,0.9408806562423706,0.14377121854095742,"[[1389.6666666666667, 331.3333333333333], [1533.5, 299.6666666666667]]"
instruments/recorder/20220416_160251.mp4,20,82.0,32.32,33.93,1.6099999999999994,3232.0,3393.0,0.9627818465232849,0.059337829102253985,"[[1381.6666666666667, 322.5], [1517.8333333333333, 308.0]]"
instruments/recorder/20220416_160251.mp4,21,82.0,33.96,34.05,0.0899999999999963,3396.0,3405.0,0.9100617170333862,0.01925215409319098,"[[1394.6666666666667, 317.5], [1555.3333333333333, 298.5]]"
instruments/recorder/20220416_160251.mp4,27,83.0,35.46,35.74,0.28000000000000114,3546.0,3574.0,0.8616374135017395,0.22895571370509563,"[[1387.3333333333333, 323.0], [1525.3333333333333, 298.8333333333333]]"
instruments/recorder/20220416_160251.mp4,28,83.0,35.78,35.9,0.11999999999999744,3578.0,3590.0,0.8548502922058105,0.2554348486043242,"[[1377.3333333333335, 317.16666666666663], [1517.4166666666667, 297.5]]"
instruments/recorder/20220416_160251.mp4,34,84.0,36.39,38.14,1.75,3639.0,3814.0,0.9506778120994568,0.037490633688206855,"[[1393.3333333333333, 321.8333333333333], [1538.8333333333333, 296.1666666666667]]"
