midi,inicio,fim,duracao,i,j,avg conf,std dev
52.0,3.25,4.73,1.4800000000000004,325.0,473.0,0.9482789039611816,0.09341832847937356
52.0,10.35,13.98,3.630000000000001,1035.0,1398.0,0.9646569490432739,0.12137405941682254
51.0,20.78,25.45,4.669999999999998,2078.0,2545.0,0.9445846676826477,0.17837116761704103
49.0,27.4,30.11,2.710000000000001,2740.0,3011.0,0.9072033762931824,0.36576969275887244
51.0,32.77,33.44,0.6699999999999946,3277.0,3344.0,0.9296864867210388,0.4272354697533016
50.0,35.27,39.96,4.689999999999998,3527.0,3996.0,0.9698525667190552,0.06079840938085103
49.0,41.59,45.13,3.539999999999999,4159.0,4513.0,0.9208307862281799,0.21902683938044967
48.0,46.95,48.77,1.8200000000000003,4695.0,4877.0,0.937644362449646,0.1942735144553061
49.0,82.11,84.68,2.5700000000000074,8211.0,8468.0,0.9244434237480164,0.09804891395350578
49.0,106.3,107.67,1.3700000000000045,10630.0,10767.0,0.9075211882591248,0.12729087323114815
50.0,111.52,112.25,0.730000000000004,11152.0,11225.0,0.8877500891685486,0.3360390318457332
50.0,112.26,112.48,0.21999999999999886,11226.0,11248.0,0.8612681031227112,0.27233271639310613
49.0,114.54,119.21,4.6699999999999875,11454.0,11921.0,0.927544355392456,0.043050221475866964
48.0,128.01,129.45,1.4399999999999977,12801.0,12945.0,0.9251075387001038,0.20827521160595533
48.0,130.76,135.32,4.560000000000002,13076.0,13532.0,0.9262427687644958,0.062143217758935484
47.0,136.81,138.15,1.3400000000000034,13681.0,13815.0,0.9271494150161743,0.2556143558701322
47.0,139.59,143.32,3.7299999999999898,13959.0,14332.0,0.9284141063690186,0.23392809976129214
61.0,144.12,144.33,0.21000000000000796,14412.0,14433.0,0.8751945495605469,0.3761735460278765
45.0,168.04,168.61,0.5700000000000216,16804.0,16861.0,0.8942996263504028,0.3394750255182736
45.0,178.16,182.94,4.780000000000001,17816.0,18294.0,0.928010880947113,0.11963444542376765
45.0,197.51,202.46,4.950000000000017,19751.0,20246.0,0.9474580883979797,0.12832280408312272
44.0,204.37,209.84,5.469999999999999,20437.0,20984.0,0.9093385338783264,0.06327020749426403
41.0,247.7,251.46,3.7600000000000193,24770.0,25146.0,0.9573328495025635,0.3614770774491669
