instruments/trombone,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/trombone/20211004_170915.mp4,7,40.0,8.75,14.48,5.73,875.0,1448.0,0.930819571018219,0.11906650137602362,"[[861.8333333333334, 160.0], [927.4166666666667, 168.0]]"
instruments/trombone/20211004_170915.mp4,13,66.0,17.05,17.1,0.05000000000000071,1705.0,1710.0,0.8862457275390625,0.07005313078138897,"[[864.0, 150.0], [930.1666666666666, 156.16666666666666]]"
instruments/trombone/20211004_170915.mp4,27,39.0,22.85,23.14,0.28999999999999915,2285.0,2314.0,0.8852829337120056,0.18183717865635488,"[[875.0, 121.33333333333333], [942.1666666666666, 133.16666666666666]]"
instruments/trombone/20211004_170915.mp4,68,58.0,44.45,44.51,0.05999999999999517,4445.0,4451.0,0.8866696357727051,0.16216985367869796,"[[952.5, 175.16666666666666], [1032.5, 180.5]]"
instruments/trombone/20211004_170915.mp4,83,53.0,48.09,48.23,0.13999999999999346,4809.0,4823.0,0.8999901413917542,0.1990580354201546,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_170915.mp4,88,52.0,50.38,50.45,0.07000000000000028,5038.0,5045.0,0.8518442511558533,0.14706312477485603,"[[995.3333333333334, 157.83333333333334], [1076.8333333333333, 171.66666666666666]]"
instruments/trombone/20211004_170915.mp4,93,53.0,51.03,51.21,0.17999999999999972,5103.0,5121.0,0.9001132249832153,0.16824577417000805,"[[988.8333333333334, 161.5], [1069.6666666666665, 176.5]]"
instruments/trombone/20211004_170915.mp4,96,57.0,54.54,55.97,1.4299999999999997,5454.0,5597.0,0.9453208446502686,0.14556934351070014,"[[994.0833333333333, 158.33333333333334], [1073.75, 179.25]]"
instruments/trombone/20211004_170915.mp4,98,54.0,56.33,56.43,0.10000000000000142,5633.0,5643.0,0.9108783602714539,0.18339879629959704,"[[997.25, 156.58333333333334], [1080.0833333333335, 170.08333333333334]]"
instruments/trombone/20211004_170915.mp4,117,65.0,65.84,65.94,0.09999999999999432,6584.0,6594.0,0.8896862864494324,0.07562933775450052,"[[967.8333333333334, 240.33333333333334], [1044.1666666666667, 265.5]]"
instruments/trombone/20211004_170915.mp4,118,70.0,65.99,66.46,0.46999999999999886,6599.0,6646.0,0.9518849849700928,0.024871198342623253,"[[962.9166666666667, 249.66666666666666], [1042.0, 276.08333333333337]]"
instruments/trombone/20211004_170915.mp4,122,70.0,66.84,66.9,0.060000000000002274,6684.0,6690.0,0.8845610618591309,0.10695404536249198,"[[957.8333333333334, 264.1666666666667], [1035.6666666666667, 288.5]]"
instruments/trombone/20211004_170915.mp4,130,68.0,69.75,69.86,0.10999999999999943,6975.0,6986.0,0.8757287859916687,0.12638269191032886,"[[987.4166666666666, 269.58333333333337], [1061.25, 301.16666666666663]]"
instruments/trombone/20211004_170915.mp4,132,68.0,69.95,70.04,0.09000000000000341,6995.0,7004.0,0.8760359883308411,0.23519581347490287,"[[990.0, 271.8333333333333], [1062.5, 303.5]]"
instruments/trombone/20211004_170915.mp4,135,70.0,70.2,73.28,3.0799999999999983,7020.0,7328.0,0.9722440838813782,0.10084718747144948,"[[989.0833333333333, 258.75], [1063.0833333333335, 289.66666666666663]]"
instruments/trombone/20211004_170915.mp4,154,53.0,79.85,79.91,0.060000000000002274,7985.0,7991.0,0.8780480027198792,0.18973105980089688,"[[756.0, 237.0], [837.6666666666667, 237.0]]"
instruments/trombone/20211004_171052.mp4,3,70.0,3.18,3.27,0.08999999999999986,318.0,327.0,0.8920838236808777,0.07385140102819328,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171052.mp4,4,70.0,3.34,9.5,6.16,334.0,950.0,0.9691262245178223,0.12896856562197806,"[[442.5, 589.5], [498.5, 619.3333333333334]]"
instruments/trombone/20211004_171052.mp4,5,70.0,9.53,9.59,0.0600000000000005,953.0,959.0,0.8837112784385681,0.08431608470165486,"[[818.8333333333333, 246.0], [901.5, 261.25]]"
instruments/trombone/20211004_171052.mp4,9,64.0,12.77,12.94,0.16999999999999993,1277.0,1294.0,0.9325260519981384,0.23215303543427662,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171052.mp4,13,69.0,13.44,13.75,0.3100000000000005,1344.0,1375.0,0.9113005995750427,0.035346030500001666,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171052.mp4,18,69.0,16.42,21.86,5.439999999999998,1642.0,2186.0,0.9130860567092896,0.10272616617328585,"[[846.3333333333334, 289.0], [929.0, 313.8333333333333]]"
instruments/trombone/20211004_171052.mp4,23,69.0,22.02,22.18,0.16000000000000014,2202.0,2218.0,0.859147310256958,0.1033708960882973,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171716.mp4,20,50.0,17.26,17.32,0.05999999999999872,1726.0,1732.0,0.8932027816772461,0.14227756658107182,"[[818.6666666666666, 328.3333333333333], [924.3333333333334, 330.6666666666667]]"
instruments/trombone/20211004_171716.mp4,23,65.0,21.55,21.77,0.21999999999999886,2155.0,2177.0,0.9012110233306885,0.12026341021383054,"[[nan, nan], [nan, nan]]"
